item_id,product_id,customer_group,location_id,base_price,recommended_price,price_change_pct,unit_cost,expected_demand,expected_revenue,expected_profit,margin_pct,revenue_lift_pct,profit_lift_pct,status
PROD_001_premium_LOC_ONLINE,PROD_001,premium,LOC_ONLINE,100.0,115.0,15.0,60.0,31.4,3605.32,1724.29,47.83,3.01,23.16,OPTIMAL
PROD_001_business_LOC_ONLINE,PROD_001,business,LOC_ONLINE,100.0,115.0,15.0,60.0,22.4,2575.23,1231.63,47.83,3.01,23.16,OPTIMAL
PROD_002_budget_LOC_URBAN,PROD_002,budget,LOC_URBAN,50.0,57.5,15.0,30.0,58.2,3347.8,1601.12,47.83,3.01,23.16,OPTIMAL
PROD_002_regular_LOC_URBAN,PROD_002,regular,LOC_URBAN,50.0,57.5,15.0,30.0,44.8,2575.23,1231.63,47.83,3.01,23.16,OPTIMAL
PROD_002_premium_LOC_URBAN,PROD_002,premium,LOC_URBAN,50.0,57.5,15.0,30.0,31.4,1802.66,862.14,47.83,3.01,23.16,OPTIMAL
PROD_002_business_LOC_URBAN,PROD_002,business,LOC_URBAN,50.0,57.5,15.0,30.0,22.4,1287.62,615.82,47.83,3.01,23.16,OPTIMAL
PROD_002_budget_LOC_SUBURBAN,PROD_002,budget,LOC_SUBURBAN,50.0,57.5,15.0,30.0,58.2,3347.8,1601.12,47.83,3.01,23.16,OPTIMAL
PROD_002_regular_LOC_SUBURBAN,PROD_002,regular,LOC_SUBURBAN,50.0,57.5,15.0,30.0,44.8,2575.23,1231.63,47.83,3.01,23.16,OPTIMAL
PROD_002_premium_LOC_SUBURBAN,PROD_002,premium,LOC_SUBURBAN,50.0,57.5,15.0,30.0,31.4,1802.66,862.14,47.83,3.01,23.16,OPTIMAL
PROD_002_business_LOC_SUBURBAN,PROD_002,business,LOC_SUBURBAN,50.0,57.5,15.0,30.0,22.4,1287.62,615.82,47.83,3.01,23.16,OPTIMAL
PROD_002_budget_LOC_RURAL,PROD_002,budget,LOC_RURAL,50.0,57.5,15.0,30.0,58.2,3347.8,1601.12,47.83,3.01,23.16,OPTIMAL
PROD_002_regular_LOC_RURAL,PROD_002,regular,LOC_RURAL,50.0,57.5,15.0,30.0,44.8,2575.23,1231.63,47.83,3.01,23.16,OPTIMAL
PROD_002_premium_LOC_RURAL,PROD_002,premium,LOC_RURAL,50.0,57.5,15.0,30.0,31.4,1802.66,862.14,47.83,3.01,23.16,OPTIMAL
PROD_002_business_LOC_RURAL,PROD_002,business,LOC_RURAL,50.0,57.5,15.0,30.0,22.4,1287.62,615.82,47.83,3.01,23.16,OPTIMAL
PROD_002_budget_LOC_ONLINE,PROD_002,budget,LOC_ONLINE,50.0,57.5,15.0,30.0,58.2,3347.8,1601.12,47.83,3.01,23.16,OPTIMAL
PROD_002_regular_LOC_ONLINE,PROD_002,regular,LOC_ONLINE,50.0,57.5,15.0,30.0,44.8,2575.23,1231.63,47.83,3.01,23.16,OPTIMAL
PROD_002_premium_LOC_ONLINE,PROD_002,premium,LOC_ONLINE,50.0,57.5,15.0,30.0,31.4,1802.66,862.14,47.83,3.01,23.16,OPTIMAL
PROD_002_business_LOC_ONLINE,PROD_002,business,LOC_ONLINE,50.0,57.5,15.0,30.0,22.4,1287.62,615.82,47.83,3.01,23.16,OPTIMAL
PROD_003_budget_LOC_URBAN,PROD_003,budget,LOC_URBAN,200.0,230.0,15.0,120.0,58.2,13391.2,6404.49,47.83,3.01,23.16,OPTIMAL
PROD_003_regular_LOC_URBAN,PROD_003,regular,LOC_URBAN,200.0,230.0,15.0,120.0,44.8,10300.92,4926.53,47.83,3.01,23.16,OPTIMAL
PROD_003_premium_LOC_URBAN,PROD_003,premium,LOC_URBAN,200.0,230.0,15.0,120.0,31.4,7210.65,3448.57,47.83,3.01,23.16,OPTIMAL
PROD_003_business_LOC_URBAN,PROD_003,business,LOC_URBAN,200.0,230.0,15.0,120.0,22.4,5150.46,2463.26,47.83,3.01,23.16,OPTIMAL
PROD_003_budget_LOC_SUBURBAN,PROD_003,budget,LOC_SUBURBAN,200.0,230.0,15.0,120.0,58.2,13391.2,6404.49,47.83,3.01,23.16,OPTIMAL
PROD_003_regular_LOC_SUBURBAN,PROD_003,regular,LOC_SUBURBAN,200.0,230.0,15.0,120.0,44.8,10300.92,4926.53,47.83,3.01,23.16,OPTIMAL
PROD_003_premium_LOC_SUBURBAN,PROD_003,premium,LOC_SUBURBAN,200.0,230.0,15.0,120.0,31.4,7210.65,3448.57,47.83,3.01,23.16,OPTIMAL
PROD_003_business_LOC_SUBURBAN,PROD_003,business,LOC_SUBURBAN,200.0,230.0,15.0,120.0,22.4,5150.46,2463.26,47.83,3.01,23.16,OPTIMAL
PROD_003_budget_LOC_RURAL,PROD_003,budget,LOC_RURAL,200.0,230.0,15.0,120.0,58.2,13391.2,6404.49,47.83,3.01,23.16,OPTIMAL
PROD_003_regular_LOC_RURAL,PROD_003,regular,LOC_RURAL,200.0,230.0,15.0,120.0,44.8,10300.92,4926.53,47.83,3.01,23.16,OPTIMAL
PROD_003_premium_LOC_RURAL,PROD_003,premium,LOC_RURAL,200.0,230.0,15.0,120.0,31.4,7210.65,3448.57,47.83,3.01,23.16,OPTIMAL
PROD_003_business_LOC_RURAL,PROD_003,business,LOC_RURAL,200.0,230.0,15.0,120.0,22.4,5150.46,2463.26,47.83,3.01,23.16,OPTIMAL
PROD_003_budget_LOC_ONLINE,PROD_003,budget,LOC_ONLINE,200.0,230.0,15.0,120.0,58.2,13391.2,6404.49,47.83,3.01,23.16,OPTIMAL
PROD_003_regular_LOC_ONLINE,PROD_003,regular,LOC_ONLINE,200.0,230.0,15.0,120.0,44.8,10300.92,4926.53,47.83,3.01,23.16,OPTIMAL
PROD_003_premium_LOC_ONLINE,PROD_003,premium,LOC_ONLINE,200.0,230.0,15.0,120.0,31.4,7210.65,3448.57,47.83,3.01,23.16,OPTIMAL
PROD_003_business_LOC_ONLINE,PROD_003,business,LOC_ONLINE,200.0,230.0,15.0,120.0,22.4,5150.46,2463.26,47.83,3.01,23.16,OPTIMAL
PROD_004_budget_LOC_URBAN,PROD_004,budget,LOC_URBAN,25.0,28.75,15.0,15.0,58.2,1673.9,800.56,47.83,3.01,23.16,OPTIMAL
PROD_004_regular_LOC_URBAN,PROD_004,regular,LOC_URBAN,25.0,28.75,15.0,15.0,44.8,1287.62,615.82,47.83,3.01,23.16,OPTIMAL
PROD_004_premium_LOC_URBAN,PROD_004,premium,LOC_URBAN,25.0,28.75,15.0,15.0,31.4,901.33,431.07,47.83,3.01,23.16,OPTIMAL
PROD_004_business_LOC_URBAN,PROD_004,business,LOC_URBAN,25.0,28.75,15.0,15.0,22.4,643.81,307.91,47.83,3.01,23.16,OPTIMAL
PROD_004_budget_LOC_SUBURBAN,PROD_004,budget,LOC_SUBURBAN,25.0,28.75,15.0,15.0,58.2,1673.9,800.56,47.83,3.01,23.16,OPTIMAL
PROD_004_regular_LOC_SUBURBAN,PROD_004,regular,LOC_SUBURBAN,25.0,28.75,15.0,15.0,44.8,1287.62,615.82,47.83,3.01,23.16,OPTIMAL
PROD_004_premium_LOC_SUBURBAN,PROD_004,premium,LOC_SUBURBAN,25.0,28.75,15.0,15.0,31.4,901.33,431.07,47.83,3.01,23.16,OPTIMAL
PROD_004_business_LOC_SUBURBAN,PROD_004,business,LOC_SUBURBAN,25.0,28.75,15.0,15.0,22.4,643.81,307.91,47.83,3.01,23.16,OPTIMAL
PROD_004_budget_LOC_RURAL,PROD_004,budget,LOC_RURAL,25.0,28.75,15.0,15.0,58.2,1673.9,800.56,47.83,3.01,23.16,OPTIMAL
PROD_004_regular_LOC_RURAL,PROD_004,regular,LOC_RURAL,25.0,28.75,15.0,15.0,44.8,1287.62,615.82,47.83,3.01,23.16,OPTIMAL
PROD_004_premium_LOC_RURAL,PROD_004,premium,LOC_RURAL,25.0,28.75,15.0,15.0,31.4,901.33,431.07,47.83,3.01,23.16,OPTIMAL
PROD_004_business_LOC_RURAL,PROD_004,business,LOC_RURAL,25.0,28.75,15.0,15.0,22.4,643.81,307.91,47.83,3.01,23.16,OPTIMAL
PROD_004_budget_LOC_ONLINE,PROD_004,budget,LOC_ONLINE,25.0,28.75,15.0,15.0,58.2,1673.9,800.56,47.83,3.01,23.16,OPTIMAL
PROD_004_regular_LOC_ONLINE,PROD_004,regular,LOC_ONLINE,25.0,28.75,15.0,15.0,44.8,1287.62,615.82,47.83,3.01,23.16,OPTIMAL
PROD_004_premium_LOC_ONLINE,PROD_004,premium,LOC_ONLINE,25.0,28.75,15.0,15.0,31.4,901.33,431.07,47.83,3.01,23.16,OPTIMAL
PROD_004_business_LOC_ONLINE,PROD_004,business,LOC_ONLINE,25.0,28.75,15.0,15.0,22.4,643.81,307.91,47.83,3.01,23.16,OPTIMAL
PROD_005_budget_LOC_URBAN,PROD_005,budget,LOC_URBAN,140.0,161.0,15.0,85.0,58.2,9373.84,4424.92,47.2,3.01,23.77,OPTIMAL
PROD_005_regular_LOC_URBAN,PROD_005,regular,LOC_URBAN,140.0,161.0,15.0,85.0,44.8,7210.65,3403.78,47.2,3.01,23.77,OPTIMAL
PROD_005_premium_LOC_URBAN,PROD_005,premium,LOC_URBAN,140.0,161.0,15.0,85.0,31.4,5047.45,2382.65,47.2,3.01,23.77,OPTIMAL
PROD_005_business_LOC_URBAN,PROD_005,business,LOC_URBAN,140.0,161.0,15.0,85.0,22.4,3605.32,1701.89,47.2,3.01,23.77,OPTIMAL
PROD_005_budget_LOC_SUBURBAN,PROD_005,budget,LOC_SUBURBAN,140.0,161.0,15.0,85.0,58.2,9373.84,4424.92,47.2,3.01,23.77,OPTIMAL
PROD_005_regular_LOC_SUBURBAN,PROD_005,regular,LOC_SUBURBAN,140.0,161.0,15.0,85.0,44.8,7210.65,3403.78,47.2,3.01,23.77,OPTIMAL
PROD_005_premium_LOC_SUBURBAN,PROD_005,premium,LOC_SUBURBAN,140.0,161.0,15.0,85.0,31.4,5047.45,2382.65,47.2,3.01,23.77,OPTIMAL
PROD_005_business_LOC_SUBURBAN,PROD_005,business,LOC_SUBURBAN,140.0,161.0,15.0,85.0,22.4,3605.32,1701.89,47.2,3.01,23.77,OPTIMAL
PROD_005_budget_LOC_RURAL,PROD_005,budget,LOC_RURAL,140.0,161.0,15.0,85.0,58.2,9373.84,4424.92,47.2,3.01,23.77,OPTIMAL
PROD_005_regular_LOC_RURAL,PROD_005,regular,LOC_RURAL,140.0,161.0,15.0,85.0,44.8,7210.65,3403.78,47.2,3.01,23.77,OPTIMAL
PROD_005_premium_LOC_RURAL,PROD_005,premium,LOC_RURAL,140.0,161.0,15.0,85.0,31.4,5047.45,2382.65,47.2,3.01,23.77,OPTIMAL
PROD_005_business_LOC_RURAL,PROD_005,business,LOC_RURAL,140.0,161.0,15.0,85.0,22.4,3605.32,1701.89,47.2,3.01,23.77,OPTIMAL
PROD_005_budget_LOC_ONLINE,PROD_005,budget,LOC_ONLINE,140.0,161.0,15.0,85.0,58.2,9373.84,4424.92,47.2,3.01,23.77,OPTIMAL
PROD_005_regular_LOC_ONLINE,PROD_005,regular,LOC_ONLINE,140.0,161.0,15.0,85.0,44.8,7210.65,3403.78,47.2,3.01,23.77,OPTIMAL
PROD_005_premium_LOC_ONLINE,PROD_005,premium,LOC_ONLINE,140.0,161.0,15.0,85.0,31.4,5047.45,2382.65,47.2,3.01,23.77,OPTIMAL
PROD_005_business_LOC_ONLINE,PROD_005,business,LOC_ONLINE,140.0,161.0,15.0,85.0,22.4,3605.32,1701.89,47.2,3.01,23.77,OPTIMAL
